filename,nosds,nobjs,query,run,time,pool,qdepth,wthreads,selectivity-pct,cls,cache
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,2,038.822291859,tpc,12,10,unique,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,3,0290.518047073,tpc,12,10,unique,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,3,0191.880124952,tpc,12,10,unique,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,3,0284.895058668,tpc,12,10,unique,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,3,0207.685047669,tpc,12,10,unique,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,3,0284.941723177,tpc,12,10,unique,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,3,0171.573510580,tpc,12,10,unique,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,3,0284.578867863,tpc,12,10,unique,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,3,088.412373319,tpc,12,10,unique,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,3,0284.198921520,tpc,12,10,unique,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,3,080.698790906,tpc,12,10,unique,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,3,0284.602687294,tpc,12,10,unique,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,3,037.202969546,tpc,12,10,unique,true,hot
